ARO Accession	CVTERM ID	Drug_Class	ARO Name	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	CARD Short Name	length
ARO:3000781	37161	Multidrug	adeJ	AAX14802.1	AY769962.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penicillin beta-lactam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux	adeJ	3177
ARO:3000782	37162	Multidrug	adeK	AAX14803.1	AY769962.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penicillin beta-lactam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux	adeK	1455
ARO:3000783	37163	Multidrug	cmeA	ABS43901.1	CP000768.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;fluoroquinolone antibiotic;fusidane antibiotic;macrolide antibiotic	antibiotic efflux	cmeA	1104
ARO:3000784	37164	Multidrug	cmeB	ABS43151.1	CP000768.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;fluoroquinolone antibiotic;fusidane antibiotic;macrolide antibiotic	antibiotic efflux	cmeB	3123
ARO:3000785	37165	Multidrug	cmeC	BAO79432.1	AB894099.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;fluoroquinolone antibiotic;fusidane antibiotic;macrolide antibiotic	antibiotic efflux	cmeC	1479
ARO:3000789	37169	Multidrug	mdsA	AAL19306.1	AE006468.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;cephalosporin;monobactam;penicillin beta-lactam;phenicol antibiotic	antibiotic efflux	mdsA	1227
ARO:3000790	37170	Multidrug	mdsB	AAL19305.1	AE006468.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;cephalosporin;monobactam;penicillin beta-lactam;phenicol antibiotic	antibiotic efflux	mdsB	3168
ARO:3000791	37171	Multidrug	mdsC	AAL19304.1	AE006468.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;cephalosporin;monobactam;penicillin beta-lactam;phenicol antibiotic	antibiotic efflux	mdsC	1512
ARO:3000792	37172	Aminocoumarin	mdtA	AAC75135.2	U00096.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux	mdtA	1248
ARO:3000793	37173	Aminocoumarin	mdtB	AAC75136.1	U00096.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux	mdtB	3123
ARO:3000794	37174	Aminocoumarin	mdtC	AAC75137.1	U00096.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux	mdtC	3078
ARO:3000795	37175	Multidrug	mdtE	BAE77781.1	AP009048.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam	antibiotic efflux	mdtE	1158
ARO:3000796	37176	Multidrug	mdtF	AAC76539.1	U00096.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam	antibiotic efflux	mdtF	3114
ARO:3000800	37180	Multidrug	MexC	AAB41956.1	U57969.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	MexC	1164
ARO:3000801	37181	Multidrug	MexD	AAB41957.1	U57969.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	MexD	3132
ARO:3000802	37182	Multidrug	OprJ	AAB41958.1	U57969.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	OprJ	1440
ARO:3000803	37183	Multidrug	MexE	AAG05881.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux	MexE	1245
ARO:3000804	37184	Multidrug	MexF	AAG05882.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux	MexF	3189
ARO:3000805	37185	Multidrug	OprN	AAG05883.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux	OprN	1419
ARO:3000806	37186	Multidrug	MexG	AAG07592.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	MexG	447
ARO:3000807	37187	Multidrug	MexH	AAG07593.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	MexH	1113
ARO:3000808	37188	Multidrug	MexI	AAG07594.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	MexI	3090
ARO:3000809	37189	Multidrug	OpmD	AAG07595.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux	OpmD	1464
ARO:3000810	37190	MLS	mtrC	AAF42063.1	AE002098.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	mtrC	1239
ARO:3000811	37191	MLS	mtrD	AAF42062.1	AE002098.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	mtrD	3204
ARO:3000812	37192	MLS	mtrE	CAA64891.1	X95635.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	mtrE	1404
ARO:3000813	37193	Multidrug	MexS	ADT64081.1	HQ433550.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux	MexS	1020
ARO:3000814	37194	Multidrug	MexT	AAG05880.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux	MexT	1044
ARO:3000815	37195	Multidrug	mgrA	BAB41874.1	BA000018.3	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump	cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;penicillin beta-lactam;peptide antibiotic;tetracycline antibiotic	antibiotic efflux	mgrA	444
ARO:3000816	37196	MLS	mtrA	AAD44693.1	AF128627.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	mtrA	906
ARO:3000818	37198	Multidrug	nalC	AAG07108.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux	nalC	642
ARO:3000819	37199	Multidrug	nalD	AAG06962.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux	nalD	639
ARO:3000822	37202	Fluoroquinolone	pmrA	AAK99679.1	AE007317.1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux	pmrA	1200
ARO:3000823	37203	Multidrug	ramA	AFK13828.1	JQ727668.1	General Bacterial Porin with reduced permeability to beta-lactams;resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;monobactam;penicillin beta-lactam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux;reduced permeability to antibiotic	ramA	375
ARO:3000826	37206	Multidrug	sdiA	AAL20862.1	AE006468.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penicillin beta-lactam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux	sdiA	723
ARO:3000828	37208	Multidrug	baeR	ADF62940.1	CP001918.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;aminoglycoside antibiotic	antibiotic efflux	baeR	723
ARO:3000829	37209	Multidrug	baeS	ADF62939.1	CP001918.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;aminoglycoside antibiotic	antibiotic efflux	baeS	1404
ARO:3000830	37210	Multidrug	cpxA	BAB38260.1	BA000007.3	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;aminoglycoside antibiotic	antibiotic efflux	cpxA	1374
ARO:3000832	37212	Multidrug	evgA	BAB36671.1	BA000007.3	major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam;tetracycline antibiotic	antibiotic efflux	evgA	615
ARO:3000833	37213	Multidrug	evgS	AAC75429.1	U00096.1	major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;penicillin beta-lactam;tetracycline antibiotic	antibiotic efflux	evgS	3594
ARO:3000838	37218	Multidrug	arlR	ATC67679.1	CP023390.1	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic	antibiotic efflux	arlR	660
ARO:3000839	37219	Multidrug	arlS	ABD30512.1	CP000253.1	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic	antibiotic efflux	arlS	1356
ARO:3000840	37220	Beta-lactams	JOHN-1	AAK38324.1	AY028464.1	JOHN beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	JOHN-1	747
ARO:3000841	37221	Beta-lactams	CGB-1	ABS29619.1	EF672680.1	CGB beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	CGB-1	729
ARO:3000843	37223	Beta-lactams	MUS-1	AAN63647.1	AF441286.1	MUS beta-lactamase	carbapenem;penicillin beta-lactam	antibiotic inactivation	MUS-1	741
ARO:3000844	37224	Beta-lactams	TUS-1	AAN63648.1	AF441287.1	TUS beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	TUS-1	747
ARO:3000845	37225	Beta-lactams	GIM-1	CAF05908.1	AJ620678.1	GIM beta-lactamase	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	antibiotic inactivation	GIM-1	753
ARO:3000847	37227	Beta-lactams	KHM-1	BAF91108.1	AB364006.1	KHM beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	KHM-1	726
ARO:3000848	37228	Beta-lactams	DIM-1	AGC92784.1	KC004136.2	DIM beta-lactamase	carbapenem;cephalosporin	antibiotic inactivation	DIM-1	756
ARO:3000849	37229	Beta-lactams	SFH-1	AAF09244.1	AF197943.1	SFH beta-lactamase	carbapenem	antibiotic inactivation	SFH-1	705
ARO:3000851	37231	Beta-lactams	THIN-B	CAC33832.1	AJ250876.1	THIN-B beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	THIN-B	951
ARO:3000853	37233	Beta-lactams	AIM-1	CAQ53840.1	AM998375.1	AIM beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	AIM-1	912
ARO:3000854	37234	Beta-lactams	SMB-1	BAL14456.1	AB636283.1	SMB beta-lactamase	carbapenem;cephalosporin;penicillin beta-lactam	antibiotic inactivation	SMB-1	843
ARO:3000855	37235	Beta-lactams	CAU-1	CAC87665.1	AJ308331.1	CAU beta-lactamase	carbapenem;penicillin beta-lactam	antibiotic inactivation	CAU-1	870
ARO:3000856	37236	Beta-lactams	BJP-1	AND91341.1	CP011360.1	BJP beta-lactamase	carbapenem	antibiotic inactivation	BJP-1	885
ARO:3000859	37239	Aminoglycoside	rmtA	BAC20579.1	AB083212.2	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration	rmtA	756
ARO:3000862	37242	Aminoglycoside	sgm	WP_063978071.1	NG_050600.1	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration	sgm	825
ARO:3000865	37245	MLS	oleD	ABA42119.2	DQ195536.2	ole glycosyltransferase	macrolide antibiotic	antibiotic inactivation	oleD	1248
ARO:3000866	37246	MLS	oleI	ABA42118.2	DQ195535.2	ole glycosyltransferase	macrolide antibiotic	antibiotic inactivation	oleI	1275
ARO:3000926	37306	Beta-lactams	TEM-57	ACJ43254.1	FJ405211.1	TEM beta-lactamase	cephalosporin;monobactam;penicillin beta-lactam	antibiotic inactivation	TEM-57	861
ARO:3001013	37393	Beta-lactams	TEM-146	AAZ14084.2	DQ105529.2	TEM beta-lactamase	cephalosporin;monobactam;penicillin beta-lactam	antibiotic inactivation	TEM-146	861
ARO:3001043	37423	Beta-lactams	TEM-178	CAA65888.1	X97254.1	TEM beta-lactamase	cephalosporin;monobactam;penicillin beta-lactam	antibiotic inactivation	TEM-178	858
ARO:3001191	37571	Beta-lactams	SHV-152	AFQ23958.1	JX121119.1	SHV beta-lactamase	cephalosporin;penicillin beta-lactam	antibiotic inactivation	SHV-152	858
ARO:3001205	37586	Glycopeptide	BRP(MBL)	AGH88989.1	KC503911.1	Bleomycin resistant protein	glycopeptide antibiotic	antibiotic inactivation	BRP(MBL)	366
ARO:3001209	37590	Beta-lactams	mecC	CCC86795.1	FR821779.1	methicillin resistant PBP2	carbapenem;cephalosporin;monobactam;penicillin beta-lactam	antibiotic target replacement	mecC	1998
ARO:3001214	37613	Multidrug	mdtM	AAC77293.1	U00096.3	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic;lincosamide antibiotic;nucleoside antibiotic;phenicol antibiotic	antibiotic efflux	mdtM	1233
ARO:3001216	37615	Fluoroquinolone	mdtH	AAC74149.2	U00096.1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux	mdtH	1209
ARO:3001265	37664	MLS	Erm(30)	AAC69328.1	AF079138.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	Erm(30)	1011
ARO:3001299	37698	MLS	tlrB conferring tylosin resistance	AAD12162.1	AF055922.1	non-erm 23S ribosomal RNA methyltransferase (G748)	lincosamide antibiotic;macrolide antibiotic	antibiotic target alteration	Sfra_tlrB_TYL	843
ARO:3001300	37699	MLS	myrA	BAA03674.1	D16099.1	non-erm 23S ribosomal RNA methyltransferase (G748)	lincosamide antibiotic;macrolide antibiotic	antibiotic target alteration	myrA	888
ARO:3001301	37700	MLS	RlmA(II)	AJD73064.1	CP007593.1	non-erm 23S ribosomal RNA methyltransferase (G748)	lincosamide antibiotic;macrolide antibiotic	antibiotic target alteration	RlmA(II)	849
ARO:3001302	37701	MLS	chrB	AAS79458.1	AY509120.1	non-erm 23S ribosomal RNA methyltransferase (G748)	lincosamide antibiotic;macrolide antibiotic	antibiotic target alteration	chrB	843
ARO:3001303	37702	MLS	ErmO-srmA	CAA11706.1	AJ223970.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	ErmO-srmA	780
ARO:3001304	37703	MLS	ErmS	AAA26742.1	M19269.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target alteration	ErmS	960
ARO:3001305	37704	MLS	ErmU	CAA44667.1	X62867.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	ErmU	837
ARO:3001306	37705	MLS	ErmW	BAA03402.1	D14532.1	Erm 23S ribosomal RNA methyltransferase	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	antibiotic target alteration	ErmW	936
ARO:3001307	37706	MLS	vgbA	AAA98349.1	M20129.1	streptogramin vgb lyase	streptogramin B antibiotic;streptogramin antibiotic	antibiotic inactivation	vgbA	900
ARO:3001308	37707	MLS	vgbB	AAC61670.1	AF015628.1	streptogramin vgb lyase	streptogramin B antibiotic;streptogramin antibiotic	antibiotic inactivation	vgbB	888
ARO:3001313	37712	Elfamycin	facT	AFK80333.1	JQ768046.1	major facilitator superfamily (MFS) antibiotic efflux pump	elfamycin antibiotic	antibiotic efflux	facT	1680
ARO:3001327	37726	Fluoroquinolone	MdtK	AML99881.1	CP014358.1	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic	antibiotic efflux	MdtK	1425
ARO:3001328	37727	Multidrug	Escherichia coli mdfA	AFH35853.1	JQ394987.1	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux	Ecol_mdfA	1233
ARO:3001329	37728	Phosphonic acid	mdtG	ABV18113.1	CP000800.1	major facilitator superfamily (MFS) antibiotic efflux pump	phosphonic acid antibiotic	antibiotic efflux	mdtG	1227
ARO:3001424	37824	Beta-lactams	OXA-29	CAC35728.1	AJ400619.1	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	OXA-29	801
ARO:3001457	37857	Beta-lactams	OXA-152	ALA99186.1	KP771980.1	OXA beta-lactamase;OXA-62-like beta-lactamase	carbapenem;penicillin beta-lactam	antibiotic inactivation	OXA-152	858
ARO:3001461	37861	Beta-lactams	OXA-156	SUA92210.1	UGSJ01000001.1	OXA beta-lactamase;OXA-62-like beta-lactamase	carbapenem;penicillin beta-lactam	antibiotic inactivation	OXA-156	852
ARO:3001811	38211	Beta-lactams	OXA-129	CAP69660.1	AM932669.1	OXA beta-lactamase;OXA-5-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	OXA-129	804
ARO:3001813	38213	Beta-lactams	OXA-55	AAR03105.1	AY343493.1	OXA beta-lactamase;OXA-55-like beta-lactamase	carbapenem;penicillin beta-lactam	antibiotic inactivation	OXA-55	870
ARO:3001815	38215	Beta-lactams	ACC-1	CAB46491.1	AJ133121.1	ACC beta-lactamase	cephalosporin;monobactam;penicillin beta-lactam	antibiotic inactivation	ACC-1	1161
ARO:3001816	38216	Beta-lactams	ACC-2	AAF86691.1	AF180952.1	ACC beta-lactamase	cephalosporin;monobactam;penicillin beta-lactam	antibiotic inactivation	ACC-2	1173
ARO:3001817	38217	Beta-lactams	ACC-3	AAF86697.1	AF180958.1	ACC beta-lactamase	cephalosporin;monobactam;penicillin beta-lactam	antibiotic inactivation	ACC-3	1131
